catchment,longitude,latitude,mean_sp,mean_ai,mean_si,bfi,q5Frac,low_fdc,q95Frac,high_fdc
1045,-105.43926,35.72501,27.70652787,1.167591301,0.723295944,0.565615844,0.13515019,3.197573743,3.413186023,6.005797097
1046,-105.90659,39.74828,88.87234385,0.770838016,0.185123184,0.508245406,0.066705342,2.255741796,5.529468612,9.382900039
1047,-106.0091,39.73013,83.53507391,0.867765982,0.144564208,0.604144644,0.20590813,1.404653521,4.654412557,7.936756922
1048,-105.94456,39.56378,77.38462534,0.901316329,0.273014398,0.665009675,0.278178055,1.581739735,4.049406298,6.711843105
1049,-106.22102,39.63208,86.92913926,0.775914947,0.074557982,0.514212645,0.07900368,2.424543214,5.519581446,9.238810243
1050,-106.23261,39.57866,81.85548379,0.78602369,0.079234738,0.496200269,0.125092458,1.938983644,5.513357178,10.00110985
1051,-106.31259,39.67954,85.13091067,0.874197768,-0.017981214,0.485999431,0.060790575,2.649502088,5.453651391,9.508279566
1052,-106.35886,39.67818,77.90133238,0.933775296,-0.022060311,0.440449521,0.023439994,5.28702336,6.426465,11.28211274
1053,-107.18846,39.10714,76.47860902,0.845364836,-0.123680639,0.59170939,0.140262815,1.860737371,4.495603055,7.338333866
1054,-106.62829,38.95066,76.28531488,0.842033228,0.079257523,0.657739937,0.26160355,1.386196898,3.797156006,6.293346217
1055,-110.54558,42.18357,62.00139427,1.493809051,-0.120637193,0.68045305,0.229019018,1.942031263,3.750186425,6.258617239
1056,-110.72223,42.23443,72.15827516,1.366468439,-0.224471643,0.54516765,0.09451138,2.514434638,4.867336069,8.938254268
1057,-108.54592,39.89544,44.23482244,2.010164435,0.023259705,0.695296399,0.178961806,2.58650866,3.384005064,5.320819578
1058,-111.04445,39.94972,59.64791362,1.513488833,-0.065159803,0.507680382,0.042417328,4.951302059,4.543677927,9.426254649
1059,-107.53186,37.59993,80.4931356,0.61133549,0.214771216,0.580030431,0.114107494,2.772588722,3.980249574,5.909854993
1060,-112.586,37.41291,38.13471043,2.277263262,-0.228062349,0.759631128,0.295271508,2.441038083,2.47625424,3.708760089
1061,-108.18896,33.34026,13.22229774,2.493326448,0.577116004,0.563109737,0.164282114,3.338685434,3.087002615,5.761353175
1062,-109.69413,33.14117,3.730353106,4.441033408,-0.149397555,0.593624222,0.291516095,1.693934454,1.510848413,2.815618852
1063,-110.6011,31.86758,1.337871053,4.701484955,0.315249109,0.167422599,0.022755005,5.011051874,1.882521572,9.344563006
1064,-109.70757,33.86829,36.73286597,1.618607764,0.308939065,0.665445704,0.256133222,1.668734004,3.436748845,5.334126899
1065,-109.83754,33.92041,26.3192819,2.104931896,0.20058633,0.631964969,0.10145372,4.150606356,4.033603547,6.381355952
1066,-110.50846,34.04412,9.455058128,2.932664889,-0.065520932,0.591687858,0.269253466,1.86569535,3.072213134,5.919678482
1067,-110.88509,34.03231,8.459601331,2.728147795,-0.181395084,0.362339427,0.115401916,1.849202706,3.100852538,9.576941435
1068,-111.51264,34.70001,23.92184428,2.600918162,-0.1852962,0.435678188,0.243661689,0.428081068,4.132534621,10.32855344
1069,-111.42759,34.59887,24.78817377,2.32217433,-0.126648556,0.501479246,0.305912435,0.677672608,2.779096814,7.39348057
1070,-111.34368,41.5837,53.28358242,1.411989536,-0.198848386,0.816168688,0.210360114,3.106115158,3.422467594,5.612007347
1071,-112.69434,37.62724,61.56227533,1.587817156,-0.053227212,0.578557011,0.063033011,5.191381087,4.398798748,7.841455514
1072,-111.52384,38.97347,59.35271455,1.801800459,0.064500194,0.712611779,0.309211681,1.759466139,3.231262063,5.376534201
1073,-112.43792,38.28442,66.12220197,1.686026573,-0.120979325,0.692336164,0.320032424,0.859561638,3.222244265,5.756370187
